isFraud,type_num,amount_boxcox,oldbalanceDest_boxcox,oldbalanceOrg_boxcox,newbalanceDest_boxcox,newbalanceOrig_boxcox
1,1,-4.096788263,-1.885453268,0.087705093,-3.872812525,-0.331129548
1,0,-4.096788263,-0.907106612,0.087705093,-3.872812525,-0.331129548
1,1,-2.778779604,-1.885453268,0.570907877,-3.872812525,-0.331129548
1,0,-2.778779604,-0.859263972,0.570907877,-3.872812525,-0.331129548
1,1,-1.57442757,-1.885453268,0.906330727,-3.872812525,-0.331129548
1,0,-1.57442757,-1.145451541,0.906330727,-2.145426939,-0.331129548
1,0,0.819484253,-1.632791418,-1.023132767,1.907532515,-0.331129548
1,1,1.911226983,-1.885453268,1.580909541,-3.872812525,-0.331129548
1,0,1.911226983,-1.885453268,1.580909541,0.718545935,-0.331129548
1,1,-1.189129055,-1.885453268,0.999027677,-3.872812525,-0.331129548
1,0,-1.189129055,-0.81891776,0.999027677,-2.302823956,-0.331129548
1,1,-1.424577139,-1.885453268,0.943101567,-3.872812525,-0.331129548
1,0,-1.424577139,-1.078807295,0.943101567,-1.759122773,-0.331129548
1,0,-0.170519405,-1.885453268,0.652189511,-1.144774468,-0.331129548
1,1,0.310674958,-1.885453268,1.311046751,-3.872812525,-0.331129548
1,0,0.310674958,-1.885453268,1.311046751,-0.843912577,-0.331129548
1,1,1.755028703,-1.885453268,1.556813753,-3.872812525,-0.331129548
1,0,1.755028703,-1.885453268,1.556813753,0.116534961,-0.331129548
1,1,1.625088661,-1.885453268,1.536435132,-3.872812525,-0.331129548
1,0,1.625088661,-0.420656787,1.536435132,0.11636002,-0.331129548
1,1,-1.772083018,-1.885453268,0.856339372,-3.872812525,-0.331129548
1,0,-1.772083018,-0.940477782,0.856339372,-1.771665481,-0.331129548
1,1,-1.626510884,-1.885453268,0.893325814,-3.872812525,-0.331129548
1,0,-1.626510884,-0.386614938,0.893325814,-1.031080822,-0.331129548
1,1,-1.996876006,-1.885453268,0.797289828,-3.872812525,-0.331129548
1,0,-1.996876006,-1.885453268,0.797289828,-2.193646766,-0.331129548
1,1,-1.487484639,-1.885453268,0.927780118,-3.872812525,-0.331129548
1,0,-1.487484639,-1.885453268,0.927780118,-1.916451039,-0.331129548
1,1,4.269358388,-1.885453268,1.939100428,-3.872812525,3.020536861
1,0,4.269358388,-1.885453268,1.89995313,1.97476095,-0.331129548
1,1,2.803787942,-1.885453268,1.710860431,-3.872812525,-0.331129548
1,0,2.803787942,1.056853374,1.710860431,1.628863787,-0.331129548
1,1,0.033445697,-1.885453268,1.258384214,-3.872812525,-0.331129548
1,0,0.033445697,-1.885453268,1.258384214,-1.018448131,-0.331129548
1,1,-1.828639109,-1.885453268,0.841709154,-3.872812525,-0.331129548
1,0,-1.828639109,-1.885453268,0.841709154,-2.103457137,-0.331129548
1,1,-0.517711894,-1.885453268,1.14735502,-3.872812525,-0.331129548
1,0,-0.517711894,-1.885453268,1.14735502,-1.35568431,-0.331129548
1,1,-0.252734811,-1.885453268,1.201838638,-3.872812525,-0.331129548
1,0,-0.252734811,-1.885453268,1.201838638,-1.195190105,-0.331129548
1,1,-0.78581163,-1.885453268,1.089984858,-3.872812525,-0.331129548
1,0,-0.78581163,1.943662207,1.089984858,2.254232884,-0.331129548
1,1,-2.022503029,-1.885453268,0.790402052,-3.872812525,-0.331129548
1,0,-2.022503029,-1.885453268,0.790402052,-2.207265928,-0.331129548
1,1,-1.225178564,-1.885453268,0.990606036,-3.872812525,-0.331129548
1,0,-1.225178564,-0.819972984,0.990606036,-3.872812525,-0.331129548
1,1,-1.400081453,-1.885453268,0.949023425,-3.872812525,-0.331129548
1,0,-1.400081453,-0.512585126,0.949023425,-1.837802692,-0.331129548
1,1,-1.379234677,-1.885453268,0.954043866,-3.872812525,-0.331129548
1,0,-1.379234677,-0.501142033,0.954043866,-1.16049491,-0.331129548
1,1,-1.287496828,-1.885453268,0.97592895,-3.872812525,-0.331129548
1,0,-1.287496828,-1.885453268,0.97592895,-1.804302157,-0.331129548
1,1,0.238712613,-1.885453268,1.297568336,-3.872812525,-0.331129548
1,0,0.238712613,-1.05889954,1.297568336,-1.611850856,-0.331129548
1,1,-1.674995756,-1.885453268,0.881112465,-3.872812525,-0.331129548
1,0,-1.674995756,-1.1461032,0.881112465,-3.872812525,-0.331129548
1,1,-1.677875028,-1.885453268,0.880383896,-1.276227857,-0.331129548
1,0,-1.677875028,-1.885453268,0.880383896,-2.021490051,-0.331129548
1,1,-1.99534164,-1.885453268,0.79770118,-3.872812525,-0.331129548
1,0,-1.99534164,-0.782084682,0.79770118,-1.892126222,-0.331129548
1,1,-2.016035401,-1.885453268,0.792143453,-3.872812525,-0.331129548
1,0,-2.016035401,-1.885453268,0.792143453,-2.203831772,-0.331129548
1,1,-0.524240344,-1.885453268,1.145985508,-3.872812525,-0.331129548
1,0,-0.524240344,-1.039494592,1.145985508,-2.191320078,-0.331129548
1,1,-1.828786329,-1.885453268,0.841670876,0.417792653,-0.331129548
1,0,-1.828786329,-1.245958735,0.841670876,-1.105102143,-0.331129548
1,1,0.406038407,-1.885453268,1.328707666,-3.872812525,-0.331129548
1,0,0.406038407,-0.924894761,1.328707666,-0.483702646,-0.331129548
1,1,-1.522585849,-1.885453268,0.91915909,-3.872812525,-0.331129548
1,0,-1.522585849,-0.849498982,0.91915909,-3.872812525,-0.331129548
1,1,3.523914226,-1.885453268,1.807169728,-3.872812525,-0.331129548
1,0,3.523914226,-1.885453268,1.807169728,1.906459214,-0.331129548
1,1,-4.137545937,-1.885453268,0.069975307,-3.872812525,-0.331129548
1,0,-4.137545937,-1.217176671,0.069975307,-3.872812525,-0.331129548
1,1,-1.527546595,-1.885453268,0.917936505,-3.872812525,-0.331129548
1,0,-1.527546595,-0.821544348,0.917936505,-1.443764231,-0.331129548
1,1,0.87418854,-1.885453268,1.412261146,-3.872812525,-0.331129548
1,0,0.87418854,-0.510036684,1.412261146,-3.872812525,-0.331129548
1,0,0.089870479,-1.035582479,-1.023132767,-0.975239843,-0.331129548
1,1,-4.011038575,-1.885453268,0.124339156,-0.773247611,-0.331129548
1,0,-4.011038575,-0.872672013,0.124339156,-1.013220757,-0.331129548
1,1,-2.963458157,-1.885453268,0.511921725,-3.872812525,-0.331129548
1,0,-2.963458157,-1.287522158,0.511921725,-2.457503031,-0.331129548
